file_path,artist,title,stream_count,source_url,archive_item,license_url
music/low_stream/Xiphest - 01-FaceFirstIntoMoltenGlass.mp3,Xiphest,01-FaceFirstIntoMoltenGlass,903,https://archive.org/download/TFR794-Xiphest-BeseecherDemo/01-FaceFirstIntoMoltenGlass.mp3,https://archive.org/details/TFR794-Xiphest-BeseecherDemo,http://creativecommons.org/licenses/by-nc-nd/3.0/
music/low_stream/xCEAN - 12_screech_disastre_vbr.mp3,xCEAN,12_screech_disastre_vbr,994,https://archive.org/download/PCR-007/12_screech_disastre_vbr.mp3,https://archive.org/details/PCR-007,
music/low_stream/Bruce Wain - concentration_requires_largest.mp3,Bruce Wain,concentration_requires_largest,817,https://archive.org/download/Action_Cities_Office_Expanded/concentration_requires_largest.mp3,https://archive.org/details/Action_Cities_Office_Expanded,https://creativecommons.org/licenses/by-nd/4.0/
music/low_stream/mescalibur - 3Piste03.mp3,mescalibur,3Piste03,763,https://archive.org/download/Ep04EtrangesSpaghettis/3Piste03.mp3,https://archive.org/details/Ep04EtrangesSpaghettis,
music/low_stream/esc.rec - 16-Gluid-Sadio-Flakes.mp3,esc.rec.,16-Gluid-Sadio-Flakes,903,https://archive.org/download/Flakes_305/16-Gluid-Sadio-Flakes.mp3,https://archive.org/details/Flakes_305,http://creativecommons.org/licenses/by-nc-sa/3.0/nl/
music/low_stream/Yukiga Futte Uresii - 06_Pro_Democracy_Leader_vbr.mp3,Yukiga Futte Uresii,06_Pro_Democracy_Leader_vbr,855,https://archive.org/download/RadioBurma/06_Pro_Democracy_Leader_vbr.mp3,https://archive.org/details/RadioBurma,http://creativecommons.org/licenses/by/2.1/jp/
music/low_stream/Thehiekka - rbd-064-01-thehiekka-allow.mp3,Thehiekka,rbd-064-01-thehiekka-allow,776,https://archive.org/download/064/rbd-064-01-thehiekka-allow.mp3,https://archive.org/details/064,http://creativecommons.org/licenses/by-nc-nd/2.0/deed-music
"music/low_stream/Shambles Constant - FCC018 Some Sat, Others Stood.mp3",Shambles Constant,"FCC018 Some Sat, Others Stood",894,https://archive.org/download/fallingcowcompendium/FCC018%20Some%20Sat%2C%20Others%20Stood.mp3,https://archive.org/details/fallingcowcompendium,http://creativecommons.org/licenses/by-nc-nd/3.0/us/
music/low_stream/Louis Lingg and the Bombs - c15BombinShit.mp3,Louis Lingg and the Bombs,c15BombinShit,810,https://archive.org/download/NXL037/c15BombinShit.mp3,https://archive.org/details/NXL037,http://creativecommons.org/licenses/by-nc-nd/3.0/
music/low_stream/Mental Health Consumer; Brian Ruskin - 10_lastSunlightShed2010.mp3,Mental Health Consumer; Brian Ruskin,10_lastSunlightShed2010,960,https://archive.org/download/MentalHealthConsumerWhatHaveWeLearned2006-2012/10_lastSunlightShed2010.mp3,https://archive.org/details/MentalHealthConsumerWhatHaveWeLearned2006-2012,http://creativecommons.org/licenses/by-sa/3.0/
music/low_stream/Humanfobia - 04 - 𝐌𝐚𝐠𝐢𝐚 𝐍𝐨𝐜𝐭á𝐦𝐛𝐮𝐥𝐚.mp3,Humanfobia,04 - 𝐌𝐚𝐠𝐢𝐚 𝐍𝐨𝐜𝐭á𝐦𝐛𝐮𝐥𝐚,822,https://archive.org/download/humanfobia-obituario-ep/04%20-%20%F0%9D%90%8C%F0%9D%90%9A%F0%9D%90%A0%F0%9D%90%A2%F0%9D%90%9A%20%F0%9D%90%8D%F0%9D%90%A8%F0%9D%90%9C%F0%9D%90%AD%C3%A1%F0%9D%90%A6%F0%9D%90%9B%F0%9D%90%AE%F0%9D%90%A5%F0%9D%90%9A.mp3,https://archive.org/details/humanfobia-obituario-ep,https://creativecommons.org/licenses/by-nc-nd/4.0/
music/low_stream/Overthruster - 05_-_overthruster_-_kay_parker_kay_parker.mp3,Overthruster,05_-_overthruster_-_kay_parker_kay_parker,841,https://archive.org/download/ill016/05_-_overthruster_-_kay_parker_kay_parker.mp3,https://archive.org/details/ill016,
music/low_stream/Lucas Darklord - 2019_07_22_17_49_21-36.35bpmStereoRough.mp3,Lucas Darklord,2019_07_22_17_49_21-36.35bpmStereoRough,950,https://archive.org/download/2019_07_22/2019_07_22_17_49_21-36.35bpmStereoRough.mp3,https://archive.org/details/2019_07_22,https://creativecommons.org/licenses/by-sa/4.0/
music/low_stream/Fabio Keiner - Capriccio 3.mp3,Fabio Keiner,Capriccio 3,890,https://archive.org/download/FK_Capriccio/Capriccio%203.mp3,https://archive.org/details/FK_Capriccio,https://creativecommons.org/licenses/by-nc-nd/4.0/
music/low_stream/Pierce Boaz - 02Two.mp3,Pierce Boaz,02Two,930,https://archive.org/download/AffirmationsForAnInnerPierce/02Two.mp3,https://archive.org/details/AffirmationsForAnInnerPierce,
"music/low_stream/Копро-Гурман Должен Быть Довольным & Хрюсопохожие Мутанты, Родившиеся В Коробке Из-Под Стиральной Машины & Гомосексуальн - 23.mp3","Копро-Гурман Должен Быть Довольным & Хрюсопохожие Мутанты, Родившиеся В Коробке Из-Под Стиральной Машины & Гомосексуальная Пулемётная Членодолбёжка В Неокрепшие Жопы & Дырявая Вилка Должна Стать Российским Талисманом На Олимпиаде 2020 Года",23,879,https://archive.org/download/IBR_241/23.mp3,https://archive.org/details/IBR_241,
music/low_stream/Loudspeaker Alliance - Desperation.mp3,Loudspeaker Alliance,Desperation,918,https://archive.org/download/LoudspeakerAllianceContinuousErrorctr006/Desperation.mp3,https://archive.org/details/LoudspeakerAllianceContinuousErrorctr006,http://creativecommons.org/licenses/by-nc-sa/2.5/si/
music/low_stream/MC iPod - 04 Who Killed Mighty Ducks 4.mp3,MC iPod,04 Who Killed Mighty Ducks 4,798,https://archive.org/download/McIpod-PromNight2002/04%20Who%20Killed%20Mighty%20Ducks%204.mp3,https://archive.org/details/McIpod-PromNight2002,
