file_path,label_source,file_exists,file_size_bytes,metadata_duration_seconds,sample_rate_hz,channels,estimated_bitrate_kbps,container_format,codec_subtype,bitrate_kbps,bitrate_mode,mpeg_version,mp3_mode,metadata_error
music/low_stream/C Reider - JNN052-Steam_inspector_vbr.mp3,archive_low_download,True,38110456,1576.5420408163266,44100.0,2.0,193.3875787049311,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/low_stream/ВИА -ОАОАООАО МММ)))- & COWSHIT SQUAD - 09. Фурриёб Елисей (Audiobiba Remix).mp3,archive_low_download,True,4784847,117.31591836734694,44100.0,2.0,326.2879968269873,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,joint stereo,
music/low_stream/TPK - 02_-_TPK_-_Adrift_in_a_sea_of_blood_part_II.mp3,archive_low_download,True,23104937,578.117029478458,44100.0,2.0,319.72677948399297,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,stereo,
music/low_stream/Jean Nine - kahvi008_jeannine-bubblemaster_19100.mp3,archive_low_download,True,3513492,146.60968253968255,44100.0,2.0,191.71950660483887,MP3,MPEG_LAYER_III,192.0,constant,MPEG 1.0,stereo,
music/low_stream/Ephedrina's Crew - 00_ROY CLEVELAND - REFN.mp3,archive_low_download,True,11843018,296.0,44100.0,2.0,320.08156756756756,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,joint stereo,
music/low_stream/Хуиная Голова - 57. ЗХПХ хуже хуйни.mp3,archive_low_download,True,3524906,220.54199546485262,44100.0,1.0,127.86339372944535,MP3,MPEG_LAYER_III,128.0,constant,MPEG 1.0,mono,
music/low_stream/Straight Component - 08StraightComponent_ChinaTown.mp3,archive_low_download,True,7941916,331.4040589569161,44100.0,2.0,191.71559998382475,MP3,MPEG_LAYER_III,192.0,constant,MPEG 1.0,stereo,
music/low_stream/Love Torture Records - OxygenMuzzle.mp3,archive_low_download,True,5983878,374.84460317460315,44100.0,2.0,127.70898552246625,MP3,MPEG_LAYER_III,128.0,constant,MPEG 1.0,joint stereo,
music/low_stream/Familia Mirandea - 03MeinblutistKalte_vbr.mp3,archive_low_download,True,4518112,202.814693877551,44100.0,2.0,178.21635754765586,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/low_stream/Electronic Phantom Orchestra - Electronic_Phantom_Orchestra_The_Mystical_Album_04_Cavalleria_Rusticana.mp3,archive_low_download,True,17696492,442.36909297052154,44100.0,2.0,320.0312550077589,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,stereo,
music/low_stream/Mogwai - 9_netaudiocharts_122007.mp3,archive_low_download,True,9867264,246.89056689342402,44100.0,2.0,319.7291536621383,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,joint stereo,
music/low_stream/Internet Daemon - 13 - Terbeschikkingstelling - Silence for the Stones (ft. Paloma Brea Ledo).mp3,archive_low_download,True,4068147,171.98031746031745,44100.0,2.0,189.2377946535041,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/low_stream/Ephedrina's Crew - 07 KRISTIAN FUMEI - U Ready.mp3,archive_low_download,True,17286778,432.54115646258504,44100.0,2.0,319.7250063577765,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,joint stereo,
"music/low_stream/Sar7, Sugar - 08. Sugar - エレクトロサチュレイタ(Sugar HexD).mp3",archive_low_download,True,10768277,263.06875283446715,44100.0,2.0,327.46654656551505,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,joint stereo,
music/low_stream/Nenormalizm Records - 07 Pin.mp3,archive_low_download,True,10358939,257.41061224489795,44100.0,2.0,321.9428728181449,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,joint stereo,
music/low_stream/The X-Structure - The_X-Structure-The_Past-01_lost (2).mp3,archive_low_download,True,5142093,214.5698185941043,44100.0,2.0,191.71728936312903,MP3,MPEG_LAYER_III,192.0,constant,MPEG 1.0,joint stereo,
music/low_stream/Deep-X Recordings - deepx143-04_-_Seamless_Plastic_-_Plastichero.mp3,archive_low_download,True,19380234,484.92256235827665,44100.0,2.0,319.72501185756335,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,joint stereo,
music/low_stream/Pad - 11_-_Funeral_dos_Doces_Feat_Morsus_Ceti.mp3,archive_low_download,True,12674661,316.83238095238096,44100.0,2.0,320.0344854121452,MP3,MPEG_LAYER_III,320.0,constant,MPEG 1.0,stereo,
music/low_stream/Ice Cream Sandwich Shit Head - 24KaagootaabaaIsAPussy.mp3,archive_low_download,True,1276492,79.7649433106576,44100.0,1.0,128.025365231289,MP3,MPEG_LAYER_III,128.0,constant,MPEG 1.0,mono,
music/low_stream/rubicante - kahvi217_Nova_Viator_Rudi_Rudi_64kb_mp3.mp3,archive_low_download,True,12252781,85.00208616780046,22050.0,2.0,1153.1746151088194,MP3,MPEG_LAYER_III,64.0,constant,MPEG 2.0,joint stereo,
music/low_stream/Unknown - 03_Cloud.mp3,archive_low_download,True,5028662,209.83643990929704,44100.0,2.0,191.71739673714126,MP3,MPEG_LAYER_III,192.0,constant,MPEG 1.0,stereo,
music/low_stream/Henry Collins and Robin Foster - 027. Large dampened box of assorted objects. Sputnick Mic. Mono. Ben's studio (23.9.14).mp3,archive_low_download,True,9390080,575.0,44100.0,2.0,130.6445913043478,MP3,MPEG_LAYER_III,,variable,MPEG 1.0,joint stereo,
music/low_stream/lpower - 04 Feb 14th 2016.mp3,archive_low_download,True,2105945,67.96616780045352,44100.0,2.0,247.88156439044636,MP3,MPEG_LAYER_III,192.0,constant,MPEG 1.0,joint stereo,
